"filename", "language", "Go", "Go Checksum File", "Go Module File", "Python", "YAML", "Batch", "Markdown", "XML", "JSON", "comment", "blank", "total"
"g:\code\DCA-IOT-system\api\server\vo\position_collar.go", "Go", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"g:\code\DCA-IOT-system\api\server\vo\rule_info.go", "Go", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"g:\code\DCA-IOT-system\api\sys\gis\geo\geoalgorithm\spatial_analysis_2d.go", "Go", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"g:\code\DCA-IOT-system\api\sys\gis\geo\geocontainer\coordinate.go", "Go", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"g:\code\DCA-IOT-system\api\sys\gis\geo\geocontainer\geo_position_2d.go", "Go", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"g:\code\DCA-IOT-system\api\sys\iot\monitor\connection.go", "Go", 89, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 116
"g:\code\DCA-IOT-system\api\sys\iot\sensor\collar_message.go", "Go", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 81
"g:\code\DCA-IOT-system\api\sys\iot\sensor\collar_msg_http.go", "Go", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"g:\code\DCA-IOT-system\api\sys\iot\sensor\collections.go", "Go", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"g:\code\DCA-IOT-system\api\sys\iot\sensor\fio_message.go", "Go", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 85
"g:\code\DCA-IOT-system\api\sys\iot\sensor\position_collar_message.go", "Go", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 75
"g:\code\DCA-IOT-system\config\application.yaml", "YAML", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 43
"g:\code\DCA-IOT-system\docs\docs.go", "Go", 2860, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 2868
"g:\code\DCA-IOT-system\docs\swagger.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 2844, 0, 0, 2844
"g:\code\DCA-IOT-system\docs\swagger.yaml", "YAML", 0, 0, 0, 0, 1911, 0, 0, 0, 0, 0, 1, 1912
"g:\code\DCA-IOT-system\go.mod", "Go Module File", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 5, 96
"g:\code\DCA-IOT-system\go.sum", "Go Checksum File", 0, 803, 0, 0, 0, 0, 0, 0, 0, 0, 1, 804
"g:\code\DCA-IOT-system\main.go", "Go", 43, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 82
"g:\code\DCA-IOT-system\scripts\build.bat", "Batch", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"g:\code\DCA-IOT-system\scripts\example_device.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"Total", "-", 8346, 803, 91, 21, 1954, 8, 283, 29, 2844, 720, 889, 15988
